## ANNUALTOWNELECTION MONDAY,APRIL6,2026 TOWNOFNORWOOD OFFICIALRESULTS

|                                | DIST1   | DIST2   | DIST3   | DIST4   | DIST5   | DIST6   | DIST7   | DIST8   | DIST9   | TOTAL   |
|                        |         |         |         |         |         |         |         |         |         | 40      |
| WRITE-INS              | 40      |         |         |         |         |         |         |         |         |         |
| KAREND.CURRAN          | 29      |         |         |         |         |         |         |         |         |         |
| SCATTERING             | 11      |         |         |         |         |         |         |         |         |         |
|                        | 2700    |         |         |         |         |         |         |         |         | 2700    |
| TOTALVOTE              |         |         |         |         |         |         |         |         |         |         |

<!-- image -->

A True Copy

Attest

Folan

Town Clerk
