WARD 4, PRECINCT 12 92 499 15 WARD 4, PRECINCT 12 77 77 7
WARD 5, PRECINCT 1 326 1,552 27 WARD 5, PRECINCT 1 299 299 7
WARD 5, PRECINCT 2 269 1,513 18 WARD 5, PRECINCT 2 251 251 10
WARD 5, PRECINCT 3 452 1,983 94 WARD 5, PRECINCT 3 358 358 39
WARD 5, PRECINCT 4 207 1,241 22 WARD 5, PRECINCT 4 185 185 17
WARD 5, PRECINCT 5 355 1,319 83 WARD 5, PRECINCT 5 272 272 43
WARD 5, PRECINCT 6 387 1,704 103 WARD 5, PRECINCT 6 284 284 44
WARD 5, PRECINCT 7 458 2,127 97 WARD 5, PRECINCT 7 361 361 40
WARD 5, PRECINCT 8 356 1,859 68 WARD 5, PRECINCT 8 288 288 26
WARD 5, PRECINCT 9 361 1,869 69 WARD 5, PRECINCT 9 292 292 32
WARD 5, PRECINCT 10 180 1,186 17 WARD 5, PRECINCT 10 163 163 6
WARD 5, PRECINCT 11 162 850 27 WARD 5, PRECINCT 11 135 135 11

Page: 11 of 53 11/5/2025 10:30:11 AM
=)

% 73 = d 3

6 ® ° zs 8) 35

@ 2G = x a a YL
Precinct = 2 8 = Precinct = ke) iS =
WARD 5, PRECINCT 12 167 1,113 11 WARD 5, PRECINCT 12 156 156 4
WARD 5, PRECINCT 13 423 1,591 75 WARD 5, PRECINCT 13 348 348 22
WARD 5, PRECINCT 14 336 1,249 64 WARD 5, PRECINCT 14 272 272 31
WARD 5, PRECINCT 15 211 1,205 36 WARD 5, PRECINCT 15 175 175 18
WARD 6, PRECINCT 1 449 2,168 92 WARD 6, PRECINCT 1 357 357 38
WARD 6, PRECINCT 2 226 1,713 60 WARD 6, PRECINCT 2 166 166 20
WARD 6, PRECINCT 3 273 1,968 95 WARD 6, PRECINCT 3 178 178 30
WARD 6, PRECINCT 4 254 1,385 104 WARD 6, PRECINCT 4 150 150 31
WARD 6, PRECINCT 5 283 1,801 92 WARD 6, PRECINCT 5 191 191 35
WARD 6, PRECINCT 6 341 1,910 157 WARD 6, PRECINCT 6 184 184 51
WARD 6, PRECINCT 7 326 1,770 177 WARD 6, PRECINCT 7 149 149 60
WARD 6, PRECINCT 8 416 2,007 206 WARD 6, PRECINCT 8 210 210 68
WARD 6, PRECINCT 9 420 1,948 256 WARD 6, PRECINCT 9 164 164 82
WARD 6, PRECINCT 10 257 1,634 81 WARD 6, PRECINCT 10 176 176 41
WARD 6, PRECINCT 11 331 1,741 57 WARD 6, PRECINCT 11 274 274 23
WARD 6, PRECINCT 12 374 3,459 85 WARD 6, PRECINCT 12 289 289 38
WARD 7, PRECINCT 1 383 1,519 236 WARD 7, PRECINCT 1 147 147 63
WARD 7, PRECINCT 2 369 1,816 191 WARD 7, PRECINCT 2 178 178 61
WARD 7, PRECINCT 3 450 2,043 200 WARD 7, PRECINCT 3 250 250 65
WARD 7, PRECINCT 4 233 1,569 107 WARD 7, PRECINCT 4 126 126 40
